epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.7878100589826196,0.2964718832095873,0.6967846212504644,0.0,93.19098950000625,0
1,1.048735093475804,0.320231715824603,0.7109229337500421,0.0009755282581475768,82.45339769999555,0
2,0.9970633543302214,0.3295291533745224,0.7161598936779443,0.0009045084971874737,83.27789699999994,0
3,0.9703353489096544,0.33959952234452295,0.7192736147533426,0.0007938926261462366,84.1375571000026,0
4,0.9478801243001284,0.34054958082504283,0.7204794991227336,0.0006545084971874737,82.69073759999446,0
5,0.9321189907837367,0.3428095493852254,0.7221212348282918,0.0005,82.51314149999962,0
6,0.9192045351294232,0.34672283077810045,0.7235052885235231,0.00034549150281252633,82.5243260999996,0
7,0.9141255491136655,0.34805732923460453,0.7234230021407403,0.00020610737385376348,82.50795470000594,0
8,0.905727783272593,0.35079542004153497,0.7244101232939348,9.549150281252633e-05,82.48549700000149,0
9,0.9011165706864068,0.35089417636902953,0.7244595386325974,2.4471741852423235e-05,82.62035230000038,0
