epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.3238819676878333,0.3805804988969604,0.7538669297249382,0.0,80.39650670000265,0
1,0.804897370856618,0.39467612552592085,0.7597435371116535,0.0009755282581475768,69.55379379999795,0
2,0.7590120738919349,0.4039434963444408,0.7623728616920797,0.0009045084971874737,69.51604550000047,0
3,0.7281259656282804,0.4084857835254811,0.7667977371451402,0.0007938926261462366,69.4972087999995,0
4,0.7012011438065451,0.41940834593722265,0.7721496152004845,0.0006545084971874737,69.52826469999854,0
5,0.6783273791804355,0.4226598199872292,0.7736589639179595,0.0005,69.5293359999996,0
6,0.658269494182046,0.42967856174611685,0.7761897950157556,0.00034549150281252633,69.7551536999963,0
7,0.64110859579636,0.4356360067668684,0.778122932201122,0.00020610737385376348,69.56285260000004,0
8,0.6321153949860628,0.4363021843897451,0.7796365447998993,9.549150281252633e-05,69.567275100002,0
9,0.622951481399891,0.43644062601272576,0.7797759149813395,2.4471741852423235e-05,69.57588640000176,0
