epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.1618170236087657,0.4024103360395776,0.7786935417654842,0.0,108.25180030000047,0
1,0.7242835202060421,0.4090967555137459,0.7786048486835,0.0009755282581475768,97.53580639998836,0
2,0.6599845243227076,0.4187573466502517,0.790909822750128,0.0009045084971874737,97.34568969999964,0
3,0.6148204168250234,0.4415608843259789,0.7966152113726155,0.0007938926261462366,97.9598862999992,0
4,0.5725050185610167,0.4513477696045561,0.8057057627998263,0.0006545084971874737,97.39527739999176,0
5,0.5279502221873518,0.45900625112326165,0.8094033528051667,0.0005,97.65079909999622,0
6,0.49297869713978454,0.469027038568487,0.8120533876662034,0.00034549150281252633,97.73313819999748,0
7,0.4661377634637807,0.47230406154759785,0.813097222791616,0.00020610737385376348,97.39122269999643,0
8,0.44204852938274497,0.47893113538471177,0.8150399319554159,9.549150281252633e-05,97.508697199999,0
9,0.43320598517583647,0.47898050066390124,0.8152961237827366,2.4471741852423235e-05,97.2305367999943,0
