epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.4212321389882412,0.41149544714658287,0.7603164200208937,0.0,81.22872690000077,0
1,0.7538300777652013,0.419213211196389,0.7666621848778252,0.0009755282581475768,70.35536780000257,0
2,0.7138846584566981,0.4222891152601523,0.770705965062257,0.0009045084971874737,70.28891279999516,0
3,0.686961676285367,0.4297157146563713,0.7744942821949987,0.0007938926261462366,70.34407500000088,0
4,0.6700346647796419,0.42720744554496626,0.7751653540239188,0.0006545084971874737,70.37272909999592,0
5,0.6532202735130314,0.4373672988881908,0.777796560368287,0.0005,70.34821779999766,0
6,0.6413558524511961,0.4369317033445062,0.7775585335454933,0.00034549150281252633,70.29763660000026,0
7,0.6293411710058425,0.4393195926034483,0.7792397210303448,0.00020610737385376348,70.36781159999373,0
8,0.623376096229372,0.44128587245805,0.7792396775213518,9.549150281252633e-05,70.28433230000519,0
9,0.6207460571354755,0.44109293963345486,0.7792334122263772,2.4471741852423235e-05,70.2933705999967,0
