epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.2789541986237796,0.35231390558196596,0.7533071321453065,0.0,95.86190720000013,0
1,0.8032978210813548,0.38047125516612545,0.7720693302313741,0.0009755282581475768,84.86219960000017,0
2,0.7403549128879372,0.3898176605683436,0.7716153465224246,0.0009045084971874737,85.3362044999958,0
3,0.6979029519352192,0.4021096383875913,0.7834898099817613,0.0007938926261462366,85.18145180000283,0
4,0.6613124620555794,0.41890940112696345,0.7873093774486385,0.0006545084971874737,84.9741728999943,0
5,0.6224363563510037,0.42362250057488987,0.792580404917965,0.0005,84.94862429999921,0
6,0.5866591599803073,0.4359644728050655,0.7968312335222606,0.00034549150281252633,85.24425849999534,0
7,0.5552585111047574,0.43901238886007027,0.7993743994195378,0.00020610737385376348,85.03384099999676,0
8,0.5365838129324094,0.44240156103487227,0.8003018371117504,9.549150281252633e-05,84.64808610000182,0
9,0.5225102365347287,0.44210264318071535,0.8006882296002621,2.4471741852423235e-05,84.97699830000056,0
