epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.4320590736983037,0.31563459700109825,0.7355635883550226,0.0,117.6716024999987,0
1,0.8920973702403919,0.342496710829708,0.7502009163711799,0.0009755282581475768,107.2492115999994,0
2,0.82744232322711,0.3628889863074361,0.7543537736007597,0.0009045084971874737,106.91327589999855,0
3,0.7739713779301843,0.3675404181735768,0.7603820424594037,0.0007938926261462366,106.83175920000212,0
4,0.721079920245274,0.39271495870702966,0.7689399132867948,0.0006545084971874737,106.68656360000023,0
5,0.6702138923126275,0.3995378191348659,0.7730376881313896,0.0005,106.54538740000135,0
6,0.6256202026812311,0.40407278709618605,0.7806359898753268,0.00034549150281252633,106.32743579999806,0
7,0.5898139907647387,0.40663831921052673,0.7811773287647296,0.00020610737385376348,106.56651260000217,0
8,0.5663773126764516,0.4121314231042426,0.7828729068489757,9.549150281252633e-05,106.41801629999827,0
9,0.5505993180419374,0.41186707171615905,0.7834147134600519,2.4471741852423235e-05,106.39858950000053,0
