epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.4999211828149885,0.3710733422908769,0.7519645098885445,0.0,78.38128020000295,0
1,0.8000980861490904,0.3862993568747919,0.7593431129729382,0.0009755282581475768,67.10474100000283,0
2,0.7645846685056921,0.3977196210459956,0.762338979063875,0.0009045084971874737,67.30686830000195,0
3,0.7448614606853524,0.40193866962947983,0.7636489043124884,0.0007938926261462366,67.37443490000442,0
4,0.7309244027566268,0.4054336279219273,0.7632723557336156,0.0006545084971874737,66.84568880000006,0
5,0.712621349856104,0.40615597636642,0.7667937778267883,0.0005,67.59570370000438,0
6,0.7047900612025816,0.4106099401330529,0.7681633974136318,0.00034549150281252633,67.43297490000259,0
7,0.6960437534021557,0.41314614495973984,0.7686621627535023,0.00020610737385376348,67.12328989999514,0
8,0.6891112566607771,0.41323249480524304,0.7686423008982529,9.549150281252633e-05,67.54527919999964,0
9,0.684189399838542,0.4134172005110043,0.7687158746052116,2.4471741852423235e-05,67.29795139999624,0
