epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.3143796517984885,0.37830394399273715,0.7629548597353281,0.0,94.68455249999533,0
1,0.7514495393017975,0.397656639001679,0.7767394223683017,0.0009755282581475768,83.68245170000591,0
2,0.6999230641084159,0.4127499142006228,0.7827951454014525,0.0009045084971874737,83.83858909999253,0
3,0.6599026840542954,0.4109119368722877,0.7846475842822762,0.0007938926261462366,83.71388209999714,0
4,0.63041149616619,0.42478923339288804,0.7883787632301194,0.0006545084971874737,83.77322550000099,0
5,0.6011108128399671,0.4320895407195407,0.7918374562328084,0.0005,83.71803400000499,0
6,0.5751525118581284,0.43471726230212454,0.7940596019033749,0.00034549150281252633,83.68877880000218,0
7,0.555567040013021,0.4376377139939164,0.795629080049009,0.00020610737385376348,84.13262560000294,0
8,0.5384962220609141,0.439776279696527,0.7966226187786531,9.549150281252633e-05,83.85078890000295,0
9,0.5294074729285538,0.4396095730124275,0.7967382330499814,2.4471741852423235e-05,83.82298069998797,0
