epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.4772054276717437,0.3577388731386156,0.7490604804043274,0.0,78.23786630000541,0
1,0.8331786821922987,0.3717220798912476,0.7510556287817949,0.0009755282581475768,67.1871145000041,0
2,0.8003614832509253,0.3847068884572204,0.7573637692371341,0.0009045084971874737,67.40904729999602,0
3,0.7715588236317593,0.3830207917235741,0.7579456802623966,0.0007938926261462366,67.81616349999967,0
4,0.755113045610517,0.3914875773397066,0.761245532809332,0.0006545084971874737,67.06385310000041,0
5,0.7324471181333773,0.3981432260861098,0.7636103770992939,0.0005,67.47081430000253,0
6,0.7162623568036116,0.40113078952064496,0.7667594057224137,0.00034549150281252633,67.57357050000428,0
7,0.7021044757237815,0.404419196886849,0.7673606129860182,0.00020610737385376348,67.19541509999544,0
8,0.6922110153254496,0.4063796150475696,0.7685777553073166,9.549150281252633e-05,67.6058606000006,0
9,0.6890934513187182,0.4059139079783062,0.7685363021143511,2.4471741852423235e-05,67.58906630000274,0
