epoch,train_loss,val_miou,val_pixel_acc,lr,epoch_seconds,n_skipped
0,1.1917546503334318,0.4140703468589216,0.7785075843299186,0.0,108.4666331000044,0
1,0.6660761195378745,0.43451238995130015,0.7916671294029347,0.0009755282581475768,97.67655739998736,0
2,0.610800046630068,0.458521967605717,0.7996948540293412,0.0009045084971874737,97.58837760001188,0
3,0.5694487261234157,0.46100416291731305,0.8029635323828787,0.0007938926261462366,97.56672969998908,0
4,0.5278663173471286,0.46952248749216247,0.8075295292543427,0.0006545084971874737,97.57548290000705,0
5,0.4968327639339844,0.4784249626664993,0.8112967336482898,0.0005,97.6822397000069,0
6,0.4679221191391148,0.4810948248744688,0.8123965757247861,0.00034549150281252633,97.5273664999986,0
7,0.4460998749860392,0.484987089747536,0.8151028785908638,0.00020610737385376348,97.42603360000066,0
8,0.43046010765213866,0.48573279485215864,0.8160284780281272,9.549150281252633e-05,97.91940630000317,0
9,0.4251812107961327,0.4857539765565347,0.8159613218976182,2.4471741852423235e-05,97.59736949999933,0
